"Year","Country","Total","Solid.Fuel","Liquid.Fuel","Gas.Fuel","Cement","Gas.Flaring","Per.Capita","Pop","PercentElectrified","HDEvIndx","LifeTime","PopExposed","RuralPercent","UrbanPercent"
1949,"AFGHANISTAN",4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"AFGHANISTAN",23,6,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,"AFGHANISTAN",25,7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,"AFGHANISTAN",25,9,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,"AFGHANISTAN",29,10,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,"AFGHANISTAN",29,12,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,"AFGHANISTAN",42,17,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,"AFGHANISTAN",50,17,33,NA,NA,NA,0.01,5e+06,NA,NA,NA,NA,NA,NA
1957,"AFGHANISTAN",80,21,59,NA,NA,NA,0.01,8e+06,NA,NA,NA,NA,NA,NA
1958,"AFGHANISTAN",90,25,65,NA,NA,NA,0.01,9e+06,NA,NA,NA,NA,NA,NA
1959,"AFGHANISTAN",105,30,70,NA,5,NA,0.01,10500000,NA,NA,NA,NA,NA,NA
1960,"AFGHANISTAN",113,35,74,NA,5,NA,0.01,11300000,NA,NA,32.446,NA,91.599,8.401
1961,"AFGHANISTAN",134,48,80,NA,6,NA,0.01,13400000,NA,NA,32.962,NA,91.316,8.684
1962,"AFGHANISTAN",188,81,99,NA,8,NA,0.02,9400000,NA,NA,33.471,NA,91.024,8.976
1963,"AFGHANISTAN",193,72,107,NA,14,NA,0.02,9650000,NA,NA,33.971,NA,90.724,9.276
1964,"AFGHANISTAN",229,82,130,NA,17,NA,0.02,11450000,NA,NA,34.463,NA,90.414,9.586
1965,"AFGHANISTAN",275,104,148,NA,23,NA,0.03,9166666.66666667,NA,NA,34.948,NA,90.096,9.904
1966,"AFGHANISTAN",298,117,157,NA,24,NA,0.03,9933333.33333333,NA,NA,35.43,NA,89.767,10.233
