Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,100,99.277,99.291,99.305,100,100,100,100,100,100,91.66,100,100,100,100,100,100,100,100,100,93.356,100,100,100,100,100,100,100
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26.929,33.016,42.4,45.237,42.7,43.222,69.1,70.153,89.5,71.5,97.7,97.7
Angola,0,0,0,0,0,0,0,0,0,0,0,20,25.073,26.146,27.194,28.217,29.224,37.5,31.246,32.288,33.368,34.6,35.671,36.879,32,42,40.625,41.886
Albania,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Arab World,0,0,0,0,0,0,0,0,0,0,0,0,75.263,76.653,79.021,80.209,84.117,82.863,85.083,84.674,86.008,86.428,87.071,88.177,87.343,89.13,89.679,90.274
United Arab Emirates,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Argentina,0,0,0,0,0,0,0,0,0,0,0,95.511,96.109,96.381,96.628,96.849,97.055,97.259,97.474,97.715,98.82,99.341,99.603,99.578,100,99.824,99.967,100
Armenia,0,0,0,0,0,0,0,0,0,0,98.9,100,98,99.236,99.282,99.8,99.307,99.309,99.324,99.363,99.8,99.893,99.979,100,100,100,100,100
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,100,97.912,98.01,92.2,100,100,100,98.352,98.482,94.552,100,100,100,100,100,100
Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,0,0,0,0,0,0,0,0,0,97,98.908,98.635,100,99.023,99.184,99.319,99.5,99.556,99.685,99.839,99.94,99.9,100,100,100,100,100,100
Burundi,0,0,0,0,0,0,0,0,3.9,2.76,3.098,3.426,3.74,4.035,4.306,3.207,4.779,5.007,4.8,5.51,5.3,6.164,6.5,7.091,7,8.471,9.298,9.3
Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Benin,0,0,0,0,0,0,14.5,16.756,18.073,19.391,20.704,21.9,23.298,24.568,25.814,27.035,27.9,29.442,30.657,31.897,34.2,36.9,38.4,37.279,34.1,40.16,41.618,43.078
Burkina Faso,0,0,0,6.1,5.261,5.908,6.559,7.215,7.875,6.9,9.191,9.838,10.47,11.4,11.673,12.236,12.783,13.329,13.886,14.469,13.1,15.76,16.759,18.338,19.2,21.789,23.653,25.474
Bangladesh,0,14.29,12.009,14.57,17.8,19.698,22.268,22.4,27.42,29.998,32,35.138,37.688,40.22,40.6,44.23,50.525,46.5,52.614,55.115,55.26,59.6,62.875,61.5,62.4,73.174,75.92,88
Bulgaria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bahrain,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Bahamas, The",100,100,100,100,100,100,100,100,100,100,100,96.066,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bosnia and Herzegovina,100,100,100,100,100,100,100,100,100,100,100,99.4,98.5,100,100,100,99.387,99.7,100,100,100,99.706,100,100,100,100,100,100
Belarus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belize,0,67,70.315,71.419,72.525,73.634,74.746,75.863,76.984,78.106,79,80.331,81.425,82.499,83.549,84.574,90.989,86.59,87.608,88.652,89.917,91.682,92.041,93.25,94.486,91.8,97.002,98.265
Bermuda,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bolivia,57.207,58.557,59.907,61.258,64.1,63.966,71,67.33,71.2,70.93,69.963,69.259,63.997,72.3,76.104,68.288,76.211,80.157,84.675,86.766,87.912,88.336,90.387,89.506,90.039,91.523,91.8,91.8
Brazil,87.475,90.152,88.804,90,91.542,91.729,92.867,93.354,94.194,94.763,94.393,96.017,96.653,96.98,96.765,97.094,97.594,98.125,98.527,98.857,98.846,99.329,99.519,99.575,99.65,99.711,99.7,100
Barbados,0,0,0,0,0,0,0,0,0,0,100,100,100,100,99.997,99.978,100,100,100,100,100,100,100,100,100,100,100,100
Brunei Darussalam,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bhutan,0,0,0,0,0,0,0,0,0,0,31.15,40.107,44.067,41.1,51.924,59.808,59.691,71.8,67.449,71.359,73.283,81.752,91.5,87.433,91.526,95.646,99.775,97.7
Botswana,0,10.1,10.549,12.626,14.705,16.787,18.872,20.962,23.056,25.151,27.241,24.8,31.389,33.436,35.46,37.457,39.439,41.419,43.1,45.427,52.671,53.24,53.377,53.918,56.127,58.353,60.588,62.825
Central African Republic,0,0,0,0,0,3,3.249,3.816,4.388,4.961,6,6.088,6.632,7.157,7.658,8.134,7.805,9.051,9.52,10.015,9.8,13.201,16.1,18.712,21.339,24.231,27.128,29.982
